iter	RMSE
0	10.3796897
1	10.32025254
2	10.26393063
3	10.21042805
4	10.14849099
5	10.08668819
6	10.02850251
7	9.971131397
8	9.920763864
9	9.865670765
10	9.808019609
11	9.750753665
12	9.696335983
13	9.642928907
14	9.591266936
15	9.539474461
16	9.490998536
17	9.44215515
18	9.395430009
19	9.348783551
20	9.296438116
21	9.251024992
22	9.20222175
23	9.15715025
24	9.113159496
25	9.067797264
26	9.014077926
27	8.964919794
28	8.925063246
29	8.881512882
30	8.838066225
31	8.792950059
32	8.748544361
33	8.706393752
34	8.665817503
35	8.628321687
36	8.586547822
37	8.547908538
38	8.502519715
39	8.455754797
40	8.419261573
41	8.381887685
42	8.341760016
43	8.305751527
44	8.267291681
45	8.232002083
46	8.197985034
47	8.163152346
48	8.128650938
49	8.091210653
50	8.055727968
51	8.018716464
52	7.984705531
53	7.954898803
54	7.925748179
55	7.888631843
56	7.854887886
57	7.827703533
58	7.79772619
59	7.765492064
60	7.738898637
61	7.709171849
62	7.674511433
63	7.64676527
64	7.615652126
65	7.587192374
66	7.55743275
67	7.530654541
68	7.501141409
69	7.478082311
70	7.446717714
71	7.422100283
72	7.394745686
73	7.374444234
74	7.350182009
75	7.325893957
76	7.304132014
77	7.279479941
78	7.254454816
79	7.231761613
80	7.203210566
81	7.176411912
82	7.155258221
83	7.132987532
84	7.113385703
85	7.090990383
86	7.066924014
87	7.049358731
88	7.031256403
89	7.008945827
90	6.982539162
91	6.955354599
92	6.933718121
93	6.911829369
94	6.88559382
95	6.86087835
96	6.844360335
97	6.826483099
98	6.808095839
99	6.790961911
100	6.772304185
101	6.752701519
102	6.729751861
103	6.712308022
104	6.689967681
105	6.668668325
106	6.650856972
107	6.628365821
108	6.614710753
109	6.599467224
110	6.584301371
111	6.569101858
112	6.555884714
113	6.539846011
114	6.524842992
115	6.504081428
116	6.490764807
117	6.476440596
118	6.462386213
119	6.447773055
120	6.433137874
121	6.413768606
122	6.402478075
123	6.384571505
124	6.366509725
125	6.354864288
126	6.342087796
127	6.324717207
128	6.3090897
129	6.293797556
130	6.277183452
131	6.260866053
132	6.246174768
133	6.232008845
134	6.214805154
135	6.199579563
136	6.18461784
137	6.175793029
138	6.163847946
139	6.14920274
140	6.135145954
141	6.119780583
142	6.106539366
143	6.092477783
144	6.077036394
145	6.067826069
146	6.057579264
147	6.048666314
148	6.038363606
149	6.026498279
150	6.017860861
151	6.003866612
152	5.997142987
153	5.98787901
154	5.976527352
155	5.964754513
156	5.957034655
157	5.949035158
158	5.936128113
159	5.929014096
160	5.919864024
161	5.912322131
162	5.905375222
163	5.898458964
164	5.89158976
165	5.885161578
166	5.878180844
167	5.868625161
168	5.857922009
169	5.847383475
170	5.837912672
171	5.831597281
172	5.825349838
173	5.816639671
174	5.807298607
175	5.798471994
176	5.789621628
177	5.782575307
178	5.77537512
179	5.769775057
180	5.762084187
181	5.753548903
182	5.745343005
183	5.739999205
184	5.732829086
185	5.726023959
186	5.719740265
187	5.711876875
188	5.703009963
189	5.696425443
190	5.687054351
191	5.680675643
192	5.672031505
193	5.667076098
194	5.66049014
195	5.65143016
196	5.646191597
197	5.637114046
198	5.629810025
199	5.622293385
200	5.615264159
201	5.606892398
202	5.598673062
203	5.594283797
204	5.588284294
205	5.579702711
206	5.572740533
207	5.566012546
208	5.562452295
209	5.556045516
210	5.548737011
211	5.543671469
212	5.539211167
213	5.534076191
214	5.529068259
215	5.523828522
216	5.519716854
217	5.514425887
218	5.510869799
219	5.504702518
220	5.4997662
221	5.493205278
222	5.488484691
223	5.483647149
224	5.478309344
225	5.475115787
226	5.470748294
227	5.467522735
228	5.460449744
229	5.455160845
230	5.450641789
231	5.445406825
232	5.440787521
233	5.436020567
234	5.432253511
235	5.42880307
236	5.423874468
237	5.418280202
238	5.41190624
239	5.40829775
240	5.4050593
241	5.400579353
242	5.396637022
243	5.391690993
244	5.388395328
245	5.383882961
246	5.378760776
247	5.374337744
248	5.369644007
249	5.365686716
250	5.362107495
251	5.357632892
252	5.352506874
253	5.349848941
254	5.345441583
255	5.342700895
256	5.339623504
257	5.335745081
258	5.331245074
259	5.328000744
260	5.323711567
261	5.320729115
262	5.316661393
263	5.313333782
264	5.31002475
265	5.304805602
266	5.301240719
267	5.29726177
268	5.2936772
269	5.289752974
270	5.286557832
271	5.282631772
272	5.28039547
273	5.275907513
274	5.272435752
275	5.268603429
276	5.265367822
277	5.262043632
278	5.259368108
279	5.255765833
280	5.252956659
281	5.249420205
282	5.245714825
283	5.242966296
284	5.240857829
285	5.238192345
286	5.234793148
287	5.232074661
288	5.23011762
289	5.226639719
290	5.223543558
291	5.219528513
292	5.217958196
293	5.21447197
294	5.212280297
295	5.208926486
296	5.205483685
297	5.20224825
298	5.200142077
299	5.198696355
300	5.194633738
301	5.192175057
302	5.191267335
303	5.189172651
304	5.187184606
305	5.184801813
306	5.182445328
307	5.179650594
308	5.177565632
309	5.175630626
310	5.173656343
311	5.170583443
312	5.168382806
313	5.165752707
314	5.163995037
315	5.161915529
316	5.158984064
317	5.156447793
318	5.152649151
319	5.151564509
320	5.149380943
321	5.147324798
322	5.144004576
323	5.141933848
324	5.14019802
325	5.138330472
326	5.135372313
327	5.131913966
328	5.129802705
329	5.128368994
330	5.125300631
331	5.123410164
332	5.120851321
333	5.118630903
334	5.116996198
335	5.114521937
336	5.112892291
337	5.111509588
338	5.109526925
339	5.1061562
340	5.10291855
341	5.100609006
342	5.098032486
343	5.096189359
344	5.093489596
345	5.091020033
346	5.08965841
347	5.086658691
348	5.083166738
349	5.08037881
350	5.078074971
351	5.077327294
352	5.074129921
353	5.072539959
354	5.06979959
355	5.068423219
356	5.066790999
357	5.064215083
358	5.06272688
359	5.060857398
360	5.059542478
361	5.057398744
362	5.054795383
363	5.052613479
