iter	Passed	Remaining
0	2	1041
1	3	849
2	4	781
3	6	757
4	7	743
5	8	719
6	10	711
7	11	698
8	12	691
9	14	686
10	15	686
11	16	676
12	17	673
13	19	664
14	20	658
15	21	651
16	22	646
17	23	639
18	25	635
19	26	631
20	27	627
21	28	622
22	30	622
23	31	621
24	32	618
25	33	614
26	34	613
27	36	609
28	37	608
29	38	602
30	39	597
31	40	594
32	41	589
33	42	585
34	43	581
35	44	578
36	45	574
37	46	570
38	47	566
39	48	562
40	49	559
41	50	555
42	51	552
43	52	549
44	53	545
45	54	541
46	55	538
47	56	535
48	57	533
49	58	530
50	60	528
51	60	525
52	61	522
53	63	520
54	64	518
55	65	515
56	66	514
57	67	512
58	68	510
59	69	508
60	70	506
61	71	504
62	72	503
63	73	501
64	74	499
65	75	497
66	76	496
67	77	494
68	78	492
69	79	491
70	81	489
71	82	487
72	83	486
73	84	485
74	85	483
75	86	482
76	87	481
77	88	480
78	89	479
79	91	478
80	92	476
81	93	475
82	94	474
83	95	473
84	96	472
85	97	471
86	99	470
87	100	468
88	101	467
89	102	466
90	103	465
91	104	464
92	106	464
93	107	463
94	108	462
95	109	462
96	110	460
97	112	459
98	113	457
99	114	456
100	115	455
101	116	454
102	117	453
103	118	452
104	119	451
105	121	450
106	122	450
107	123	449
108	124	448
109	126	447
110	127	446
111	128	445
112	129	443
113	130	442
114	132	442
115	133	441
116	134	440
117	136	440
118	137	439
119	138	438
120	139	437
121	140	436
122	142	436
123	143	435
124	144	434
125	146	433
126	147	432
127	148	432
128	149	431
129	151	430
130	152	429
131	153	429
132	155	427
133	156	426
134	157	426
135	158	425
136	160	424
137	161	423
138	162	422
139	164	422
140	165	420
141	166	419
142	167	418
143	169	417
144	170	416
145	171	415
146	172	414
147	173	413
148	175	412
149	176	411
150	177	411
151	179	409
152	180	408
153	181	407
154	182	406
155	184	406
156	185	405
157	186	403
158	187	402
159	189	401
160	190	400
161	191	399
162	192	398
163	194	397
164	195	396
165	196	395
166	198	395
167	199	394
168	201	393
169	202	392
170	203	391
171	204	390
172	206	389
173	207	388
174	208	387
175	210	386
176	212	386
177	214	388
178	216	387
179	217	386
180	219	386
181	220	385
182	221	384
183	222	382
184	224	381
185	225	380
186	226	379
187	227	377
188	229	377
189	230	376
190	232	375
191	233	374
192	234	373
193	236	372
194	237	371
195	238	369
196	239	368
197	240	366
198	241	365
199	243	364
200	244	364
201	246	363
202	247	362
203	248	360
204	249	359
205	251	358
206	252	357
207	253	355
208	254	354
209	255	353
210	257	352
211	258	350
212	260	350
213	261	349
214	263	348
215	264	347
216	265	346
217	266	344
218	267	343
219	269	342
220	270	341
221	271	340
222	272	338
223	274	337
224	276	337
225	277	336
226	278	334
227	279	333
228	280	332
229	281	330
230	283	329
231	284	328
232	285	327
233	286	325
234	287	324
235	288	323
236	290	322
237	291	321
238	292	319
239	294	318
240	295	317
241	296	315
242	297	314
243	298	313
244	299	311
245	300	310
246	301	308
247	302	307
248	303	306
249	305	305
250	306	304
251	307	302
252	308	301
253	310	300
254	311	299
255	312	297
256	313	296
257	314	295
258	315	294
259	317	292
260	318	291
261	319	290
262	321	289
263	322	288
264	323	286
265	324	285
266	325	284
267	326	282
268	327	281
269	329	280
270	330	278
271	331	277
272	332	276
273	333	275
274	334	273
275	336	272
276	337	271
277	338	270
278	339	268
279	340	267
280	341	266
281	342	265
282	344	263
283	345	262
284	346	261
285	347	259
286	348	258
287	349	257
288	351	256
289	352	255
290	353	254
291	354	252
292	355	251
293	356	250
294	358	248
295	359	247
296	360	246
297	361	244
298	362	243
299	363	242
300	364	240
301	365	239
302	366	238
303	368	237
304	369	236
305	370	234
306	371	233
307	372	232
308	374	231
309	376	230
310	378	229
311	379	228
312	381	228
313	383	227
314	384	226
315	386	224
316	387	223
317	388	222
318	389	221
319	390	219
320	391	218
321	392	217
322	393	215
323	394	214
324	395	213
325	397	211
326	398	210
327	399	209
328	400	208
329	401	206
330	402	205
331	404	204
332	405	203
333	406	201
334	407	200
335	408	199
336	409	198
337	410	196
338	412	195
339	413	194
340	414	193
341	415	192
342	416	190
343	418	189
344	419	188
345	420	187
346	421	185
347	422	184
348	423	183
349	425	182
350	426	181
351	428	180
352	429	178
353	430	177
354	432	176
355	433	175
356	434	173
357	435	172
358	436	171
359	437	170
360	439	169
361	440	167
362	441	166
363	443	165
364	444	164
365	446	163
366	447	162
367	448	160
368	449	159
369	451	158
370	452	157
371	453	156
372	454	154
373	456	153
374	457	152
375	458	151
376	460	150
377	461	149
378	463	147
379	464	146
380	465	145
381	466	144
382	468	143
383	469	141
384	470	140
385	472	139
